title,authors,abstract,published,url
Spherical functions and Stolarski's invariance principle,Maksim Skriganov,"In the previous paper [25], Stolarsky's invariance principle, known for point
distributions on the Euclidean spheres [27], has been extended to the real,
complex, and quaternionic projective spaces and the octonionic projective
plane. Geometric features of these spaces as well as their models in terms of
Jordan algebras have been used very essentially in the proof. In the present
paper, we give a new pure analytic proof of the extended Stolarsky's invariance
principle, relying on the theory of spherical functions on compact symmetric
Riemannian manifolds of rank one.",2022-12-30 23:28:41+00:00,http://arxiv.org/pdf/2301.00071v2
A stabilized local integral method using RBFs for the Helmholtz equation with applications to wave chaos and dielectric microresonators,"L. Ponzellini Marinelli, L. Raviola","Most problems in electrodynamics do not have an analytical solution so much
effort has been put in the development of numerical schemes, such as the
finite-difference method, volume element methods, boundary element methods, and
related methods based on boundary integral equations. In this paper we
introduce a local integral boundary domain method with a stable calculation
based on Radial Basis Functions (RBF) approximations, in the context of wave
chaos in acoustics and dielectric microresonator problems. RBFs have been
gaining popularity recently for solving partial differential equations
numerically, becoming an extremely effective tool for interpolation on
scattered node sets in several dimensions with high-order accuracy and
flexibility for nontrivial geometries. One key issue with infinitely smooth
RBFs is the choice of a suitable value for the shape parameter which controls
the flatness of the function. It is observed that best accuracy is often
achieved when the shape parameter tends to zero. However, the system of
discrete equations obtained from the interpolation matrices becomes
ill-conditioned, which imposes severe limits to the attainable accuracy. A few
numerical algorithms have been presented that are able to stably compute an
interpolant, even in the increasingly flat basis function limit. We present the
recently developed Stabilized Local Boundary Domain Integral Method in the
context of boundary integral methods that improves the solution of the
Helmholtz equation with RBFs. Numerical results for small shape parameters that
stabilize the error are shown. Accuracy and comparison with other methods are
also discussed for various case studies. Applications in wave chaos, acoustics
and dielectric microresonators are discussed to showcase the virtues of the
method, which is computationally efficient and well suited to the kind of
geometries with arbitrary shape domains.",2022-12-30 22:59:45+00:00,http://arxiv.org/pdf/2301.00069v1
The Sticky Lévy Process as a solution to a Time Change Equation,"Miriam Ramírez, Gerónimo Uribe Bravo","Stochastic Differential Equations (SDEs) were originally devised by It\^o to
provide a pathwise construction of diffusion processes. A less explored
approach to represent them is through Time Change Equations (TCEs) as put forth
by Doeblin. TCEs are a generalization of Ordinary Differential Equations driven
by random functions. We present a simple example where TCEs have some advantage
over SDEs.
  We represent sticky L\'evy processes as the unique solution to a TCE driven
by a L\'evy process with no negative jumps. The solution is adapted to the
time-changed filtration of the L\'evy process driving the equation. This is in
contrast to the SDE describing sticky Brownian motion, which is known to have
no adapted solutions as first proved by Chitashvili. A known consequence of
such non-adaptability for SDEs is that certain natural approximations to the
solution of the corresponding SDE do not converge in probability, even though
they do converge weakly. Instead, we provide strong approximation schemes for
the solution of our TCE (by adapting Euler's method for ODEs), whenever the
driving L\'evy process is strongly approximated.",2022-12-30 22:00:58+00:00,http://arxiv.org/pdf/2301.00063v2
A robust Bayesian latent position approach for community detection in networks with continuous attributes,"Zhumengmeng Jin, Juan Sosa, Shangchen Song, Brenda Betancourt","The increasing prevalence of multiplex networks has spurred a critical need
to take into account potential dependencies across different layers, especially
when the goal is community detection, which is a fundamental learning task in
network analysis. We propose a full Bayesian mixture model for community
detection in both single-layer and multi-layer networks. A key feature of our
model is the joint modeling of the nodal attributes that often come with the
network data as a spatial process over the latent space. In addition, our model
for multi-layer networks allows layers to have different strengths of
dependency in the unique latent position structure and assumes that the
probability of a relation between two actors (in a layer) depends on the
distances between their latent positions (multiplied by a layer-specific
factor) and the difference between their nodal attributes. Under our prior
specifications, the actors' positions in the latent space arise from a finite
mixture of Gaussian distributions, each corresponding to a cluster. Simulated
examples show that our model outperforms existing benchmark models and exhibits
significantly greater robustness when handling datasets with missing values.
The model is also applied to a real-world three-layer network of employees in a
law firm.",2022-12-30 21:06:00+00:00,http://arxiv.org/pdf/2301.00055v3
Learning from Guided Play: Improving Exploration for Adversarial Imitation Learning with Simple Auxiliary Tasks,"Trevor Ablett, Bryan Chan, Jonathan Kelly","Adversarial imitation learning (AIL) has become a popular alternative to
supervised imitation learning that reduces the distribution shift suffered by
the latter. However, AIL requires effective exploration during an online
reinforcement learning phase. In this work, we show that the standard, naive
approach to exploration can manifest as a suboptimal local maximum if a policy
learned with AIL sufficiently matches the expert distribution without fully
learning the desired task. This can be particularly catastrophic for
manipulation tasks, where the difference between an expert and a non-expert
state-action pair is often subtle. We present Learning from Guided Play (LfGP),
a framework in which we leverage expert demonstrations of multiple exploratory,
auxiliary tasks in addition to a main task. The addition of these auxiliary
tasks forces the agent to explore states and actions that standard AIL may
learn to ignore. Additionally, this particular formulation allows for the
reusability of expert data between main tasks. Our experimental results in a
challenging multitask robotic manipulation domain indicate that LfGP
significantly outperforms both AIL and behaviour cloning, while also being more
expert sample efficient than these baselines. To explain this performance gap,
we provide further analysis of a toy problem that highlights the coupling
between a local maximum and poor exploration, and also visualize the
differences between the learned models from AIL and LfGP.",2022-12-30 20:38:54+00:00,http://arxiv.org/pdf/2301.00051v2
Multi-Finger Haptics: Analysis of Human Hand Grasp towards a Tripod Three-Finger Haptic Grasp model,Jose James,"Grasping is an incredible ability of animals using their arms and limbs in
their daily life. The human hand is an especially astonishing multi-fingered
tool for precise grasping, which helped humans to develop the modern world. The
implementation of the human grasp to virtual reality and telerobotics is always
interesting and challenging at the same time. In this work, authors surveyed,
studied, and analyzed the human hand-grasping behavior for the possibilities of
haptic grasping in the virtual and remote environment. This work is focused on
the motion and force analysis of fingers in human hand grasping scenarios and
the paper describes the transition of the human hand grasping towards a tripod
haptic grasp model for effective interaction in virtual reality.",2022-12-30 20:37:16+00:00,http://arxiv.org/pdf/2301.00049v1
Robustness of Variational Quantum Algorithms against stochastic parameter perturbation,"Daniil Rabinovich, Ernesto Campos, Soumik Adhikary, Ekaterina Pankovets, Dmitry Vinichenko, Jacob Biamonte","Variational quantum algorithms are tailored to perform within the constraints
of current quantum devices, yet they are limited by performance-degrading
errors. In this study, we consider a noise model that reflects realistic gate
errors inherent to variational quantum algorithms. We investigate the
decoherence of a variationally prepared quantum state due to this noise model,
which causes a deviation from the energy estimation in the variational
approach. By performing a perturbative analysis of optimized circuits, we
determine the noise threshold at which the criteria set by the stability lemma
is met. We assess our findings against the variational quantum eigensolver and
quantum approximate optimization algorithm for various problems with up to 14
qubits. Moreover, we show that certain gate errors have a significantly smaller
impact on the coherence of the state, allowing us to reduce the execution time
without compromising performance.",2022-12-30 20:36:29+00:00,http://arxiv.org/pdf/2301.00048v3
An Analysis of Honeypots and their Impact as a Cyber Deception Tactic,"Daniel Zielinski, Hisham A. Kholidy","This paper explores deploying a cyber honeypot system to learn how cyber
defenders can use a honeypot system as a deception mechanism to gather
intelligence. Defenders can gather intelligence about an attacker such as the
autonomous system that the IP of the attacker is allocated from, the way the
attacker is trying to penetrate the system, what different types of attacks are
being used, the commands the attacker is running once they are inside the
honeypot, and what malware the attacker is downloading to the deployed system.
We demonstrate an experiment to implement a honeypot system that can lure in
attackers and gather all the information mentioned above. The data collected is
then thoroughly analyzed and explained to understand all this information. This
experiment can be recreated and makes use of many open-source tools to
successfully create a honeypot system.",2022-12-30 20:22:21+00:00,http://arxiv.org/pdf/2301.00045v1
Optimization-based Sensitivity Analysis for Unmeasured Confounding using Partial Correlations,"Tobias Freidling, Qingyuan Zhao","Causal inference necessarily relies upon untestable assumptions; hence, it is
crucial to assess the robustness of obtained results to violations of
identification assumptions. However, such sensitivity analysis is only
occasionally undertaken in practice, as many existing methods only apply to
relatively simple models and their results are often difficult to interpret. We
take a more flexible approach to sensitivity analysis and view it as a
constrained stochastic optimization problem. This work focuses on sensitivity
analysis for a linear causal effect when an unmeasured confounder and a
potential instrument are present. We show how the bias of the OLS and TSLS
estimands can be expressed in terms of partial correlations. Leveraging the
algebraic rules that relate different partial correlations, practitioners can
specify intuitive sensitivity models which bound the bias. We further show that
the heuristic ""plug-in"" sensitivity interval may not have any confidence
guarantees; instead, we propose a bootstrap approach to construct sensitivity
intervals which perform well in numerical simulations. We illustrate the
proposed methods with a real study on the causal effect of education on
earnings and provide user-friendly visualization tools.",2022-12-30 20:03:08+00:00,http://arxiv.org/pdf/2301.00040v3
New Insights on the Stokes Paradox for Flow in Unbounded Domains,"Ingeborg G. Gjerde, Ridgway Scott","Stokes flow equations, used to model creeping flow, are a commonly used
simplification of the Navier--Stokes equations. The simplification is valid for
flows where the inertial forces are negligible compared to the viscous forces.
In infinite domains, this simplification leads to a fundamental paradox.
  In this work we review the Stokes paradox and present new insights related to
recent research. We approach the paradox from three different points of view:
modern functional analysis, numerical simulations, and classical analytic
techniques. The first approach yields a novel, rigorous derivation of the
paradox. We also show that relaxing the Stokes no-slip condition (by
introducing a Navier's friction condition) in one case resolves the Stokes
paradox but gives rise to d'Alembert's paradox.
  The Stokes paradox has previously been resolved by Oseen, who showed that it
is caused by a limited validity of Stokes' approximation. We show that the
paradox still holds for the Reynolds--Orr equations describing kinetic energy
flow instability, meaning that flow instability steadily increases with domain
size. We refer to this as an instability paradox.",2022-12-30 20:00:38+00:00,http://arxiv.org/pdf/2301.00039v1
