group,value
Normal (μ=50, wider σ),28.4
Normal (μ=50, wider σ),30.8
Normal (μ=50, wider σ),33.2
Normal (μ=50, wider σ),35.1
Normal (μ=50, wider σ),36.9
Normal (μ=50, wider σ),38.6
Normal (μ=50, wider σ),41.0
Normal (μ=50, wider σ),43.5
Normal (μ=50, wider σ),44.7
Normal (μ=50, wider σ),45.2
Normal (μ=50, wider σ),47.3
Normal (μ=50, wider σ),48.9
Normal (μ=50, wider σ),49.7
Normal (μ=50, wider σ),50.3
Normal (μ=50, wider σ),51.1
Normal (μ=50, wider σ),52.6
Normal (μ=50, wider σ),54.0
Normal (μ=50, wider σ),55.8
Normal (μ=50, wider σ),57.4
Normal (μ=50, wider σ),58.8
Normal (μ=50, wider σ),59.9
Normal (μ=50, wider σ),61.2
Normal (μ=50, wider σ),62.7
Normal (μ=50, wider σ),63.5
Normal (μ=50, wider σ),65.6
Normal (μ=50, wider σ),68.1
Normal (μ=50, wider σ),69.3
Normal (μ=50, wider σ),70.4
Normal (μ=50, wider σ),72.5
Normal (μ=50, wider σ),74.0
Bimodal (μ≈40,60),32.5
Bimodal (μ≈40,60),35.8
Bimodal (μ≈40,60),36.4
Bimodal (μ≈40,60),37.0
Bimodal (μ≈40,60),38.4
Bimodal (μ≈40,60),39.1
Bimodal (μ≈40,60),39.8
Bimodal (μ≈40,60),40.2
Bimodal (μ≈40,60),41.0
Bimodal (μ≈40,60),41.7
Bimodal (μ≈40,60),42.3
Bimodal (μ≈40,60),42.9
Bimodal (μ≈40,60),43.5
Bimodal (μ≈40,60),44.1
Bimodal (μ≈40,60),45.0
Bimodal (μ≈40,60),55.9
Bimodal (μ≈40,60),56.5
Bimodal (μ≈40,60),57.1
Bimodal (μ≈40,60),58.3
Bimodal (μ≈40,60),59.0
Bimodal (μ≈40,60),59.7
Bimodal (μ≈40,60),60.1
Bimodal (μ≈40,60),60.9
Bimodal (μ≈40,60),61.5
Bimodal (μ≈40,60),62.2
Bimodal (μ≈40,60),63.4
Bimodal (μ≈40,60),63.8
Bimodal (μ≈40,60),64.0
Bimodal (μ≈40,60),65.2
Bimodal (μ≈40,60),66.1
